file,title,sentences,entities
11641192.xml,Machine Learning Integration with Single-Cell Transcriptome Sequencing Datasets Reveals the Impact of Tumor-Associated Neutrophils on the Immune Microenvironment and Immunotherapy Outcomes in Gastric Cancer,"However, the function of tumor-associated neutrophils (TANs) in tumor immunity and their response to immune checkpoint inhibitors (ICIs) remains incompletely understood. | Immune checkpoint inhibitors (ICIs), a seminal breakthrough in cancer immunotherapy, empower the immune system to renew its assault on tumors by disrupting immunosuppressive signaling pathways, thereby executing an antitumor function. | Meanwhile, CCL4_NEU was involved in autophagy, NOD-like receptor signaling pathway, viral protein-cytokine interaction, toll-like receptor signaling pathway, NF-kappa B signaling pathway, chemokine activity, ubiquitin-like protein ligase binding, ubiquitin-protein ligase binding, and DNA-binding transcriptional activator activity, among others (Figure 3E,F).","T (MISC), I (MISC), I (MISC), CD44 (MISC), CD44 (MISC), NE (MISC), CD44 (MISC), NE (MISC), CD44 (MISC), NE (MISC), BA (ORG), BC (ORG), P (ORG), PD (ORG), PR (ORG), AC (ORG), T (MISC), CD44 (MISC), NE (MISC)"
11641208.xml,Advanced PROTAC and Quantitative Proteomics Strategy Reveals Bax Inhibitor-1 as a Critical Target of Icaritin in Burkitt Lymphoma,"Then, differential proteomic analysis identified Bax inhibitor-1 (BI-1) as a potential target. | As a consequence, research on lead compounds derived from natural products and the development of novel therapeutic agents has garnered significant attention . | Icaritin, the primary bioactive compound found in Epimedium, is widely employed in the treatment of cardiovascular diseases , osteoporosis , and it exhibits neuroprotective effects by mitigating inflammation and oxidative damage associated with neurological diseases . | Furthermore, ICT has demonstrated significant inhibitory effects on the proliferation of various malignant tumor cells, including hematological malignancies such as leukemia , myeloma , liver cancer , breast cancer , prostate cancer , and neurologically related cancers . | Studies have unveiled its ability to induce tumor cell apoptosis through the Janus kinase 2 (JAK2)signal transducer and activator of transcription 3 (STAT3)cyclin-dependent kinase inhibitory protein-1 (p21) pathway and the JNK1 signaling pathway . | BI-1 exhibits endoribonuclease inhibitor activity and binds to ubiquitin-protein ligases. | Results 2.1. Design and Synthesis of ICT-PROTACs A series of 22 ICT-based PROTAC compounds were synthesized (Scheme S1S8), featuring a combination of ICT derivatives as the protein of interest (POI) ligands, linkers of varying lengths and compositions, and E3 ligands such as lenalidomide or Von HippelLindau (VHL) ligands (Figure 1, Table 1) (Figures S1S26). | These findings established LJ-41 as the lead compound for further evaluation (Figure 2, Table 2). | To further investigate whether LJ-41 induces BI-1 degradation through the ubiquitin-proteasome system, we employed the proteasome inhibitor MG132 to impede the degradation effect. | Specifically, derivatives bearing a 7-OH substitution exhibited a marked attenuation in their inhibitory effects against MCF-7, MDA-MB-231, and A549 cells, whereas the converse held true for 3-OH-substituted ICT derivatives wherein the activity witnessed a notable augmentation. | Importantly, the concurrent presence of 7-OH and 3-OH was found to be inconducive to the rational design and synthesis of PROTAC compounds. | Firstly, it is important to consider that if a small molecule has the capability to independently degrade the target protein, it can impact the abundance of interacting or downstream proteins, resulting in multiple differential protein abundances . | Furthermore, it is crucial to recognize that small molecules directly targeting the binding pocket of target proteins or small molecule ligands binding to corresponding protein receptors may inhibit the proteins function, potentially causing a compensatory elevation in their expression. | In this context, it would be an intriguing discovery to compare small molecules with small molecule-based synthetic PROTAC groups. | During the differential proteomics experiment, we incorporated three groups: the control group, the pre-compound group, and the PROTAC group. | The determination of target proteins was based on an analysis of differential proteins in the pre-compound group and PROTAC group. | By including the pre-compound group, we aimed to ensure that potential target proteins were not overlooked, as analyzing only the control group and PROTAC group could result in missed target proteins. | 3.3. BI-1 as a Novel Target for Burkitt Lymphoma Following the differential protein comparison between the pre-compound group and the PROTAC group, a number of proteins were notably downregulated, including BI-1, NLR Family Pyrin Domain Containing 13(NLRP13), CXXC1, TECPR2, GRIA3, and DENND4C. | This may provide a new idea for the discovery of adverse drug reactions as well as new applications of compounds. | Our previous results have demonstrated that compound LJ-41 can bind to the intracellular target protein BI-1 and play a degrading role, leading to a decrease in BI-1 content. | 4.4. Protein Extraction and Western Blotting When the cell growth reached about 80 of the degree of fusion, the corresponding compounds were added in different treatments. | 4.5. Cellular Thermal Shift Assay (CETSA) The ability of compounds to bind with and stabilize the target BI-1 in vitro was assessed by cellular thermal shift assay. | Conclusions In this study, compounds LJ-41 and 1a, synthesized from a precursor derived from ICT derivative 1a, were used to treat CA-46 cells, aiming to identify the target of action for ICT.","I (MISC), I (MISC), ##CT (ORG), I (MISC), LJ (MISC), Burkitt (MISC), CA (MISC), Ba (MISC), 1 (MISC), B (MISC), 1 (MISC), CE (MISC), D (MISC), ##J (MISC), B (MISC), LJ (MISC), B (MISC), 1 (MISC), I (MISC), PROTAC (ORG), Burkitt (MISC)"
11641212.xml,Low-Dose Ozone as a Eustress Inducer: Experimental Evidence of the Molecular Mechanisms Accounting for Its Therapeutic Action,"Introduction Ozone (O3) occurs in nature as a chemical compound made of three oxygen atoms. | Schönbein demonstrated that O3 is a powerful oxidizing agent that reacts with inorganic and organic compounds . | In fact, low levels of oxidative stress were found to enhance the defence capability of cells and tissues by increasing the expression of antioxidant compounds . | Moreover, the expression of the Nrf2-specific inhibitor Keap1 was found to revert O3-induced ARE activation, thus unequivocally demonstrating the role of the Nrf2 pathway in the O3-driven antioxidant response. | In a rat model of experimentally induced seizures, O3 treatment was found to mitigate seizure severity and improve survival; besides increasing lipid peroxidation and reducing SOD activity, O3 increased adenosine availability to activate A1 adenosine receptors, which is known to have antiepileptic and neuroprotective functions . | After treatment with a specific inhibitor of HIF-1α, the protective action of O3 was reversed completely, so the authors hypothesised that the observed effects of O3 rely on the upregulation of HIF-1α, which is vital for attenuating mitochondrial damage, maintaining normal mitochondrial respiratory energy metabolism, and reducing the generation of mitochondrial ROS. | Similarly, in a rat model of cerebral ischaemia, O3 inactivated the NF-κB signalling pathway by decreasing the protein levels of TLR4, phosphorylated inhibitor of NF-κB kinase subunits α and β (p-IKBα and p-IKKβ), and phosphorylated p65 (p-p65), thus reducing inflammation . | Moreover, in mouse skin, the levels of IL-4, thymic stromal lymphopoietin (TSLP, a cytokine that regulates T-cell activity), phosphorylated signal transducer and activator of transcription 3 (STAT3, an inflammation-related transcriptional factor), and ERK were significantly reduced by ozonated oil treatment, while filaggrin (a keratin-bound protein in epithelial cells) levels increased.","C (MISC), Earth (LOC), Earth (LOC)"
11641215.xml,Extracellular Vesicles from a Novel Chordoma Cell Line, ARF-8, Promote Tumorigenic Microenvironmental Changes When Incubated with the Parental Cells and with Human Osteoblasts,"To test this, we subjected ARF-8 cells to scratch-fill assays in the absence or presence of an RGD (arginineglycineaspartic acid) peptide inhibitor (GRGDNP). | 4.5. BrachyuryTBXT Detection Western Blot We probed ARF-8 cell lysates (obtained by scraping cells in RIPA buffer (Radio-Immune Precipitation Buffer, R0278; Sigma-Aldrich) supplemented with protease inhibitors and phosphatase inhibitors (cOmplete Mini, ethylenediaminetetraacetic acid (EDTA)-free Protease Inhibitor Cocktail, 4693159001; PhosSTOP, 4906837001; Roche via Sigma-Aldrich).","AR (MISC), ARF (MISC), AR (MISC), E (MISC), AR (MISC), E (MISC), United (LOC), States (MISC)"
11641216.xml,Indoxyl Sulfate and Autism Spectrum Disorder: A Literature Review,"In cell culture studies, indoxyl sulfate has also been shown to have inflammatory effects on CNS glial cells, with high concentrations of indoxyl sulfate associated with reduced neuronal survival, impaired neural stem cell activity, irregular expression of brain-derived neurotrophic factor and repressor element-1 silencing transcription factor, abnormal serotonin and corticosterone levels, impaired post-receptor intracellular signaling, neuroinflammation, and upregulated oxidative stress . | These findings were then translated into an in vivo animal study, where the aforementioned compounds induced histological brain alterations and the expression of oxidative stress and inflammatory markers such as cyclooxygenase 2 (COX-2) and nitrotyrosine in the brain . | Both compounds are uremic toxins derived from essential aromatic amino acids and often co-occur in uremic toxin literature . | When the researchers administered indoxyl sulfate to the chronic renal failure rats, the severity of renal failure increased, transforming growth factor β-1 expression increased, and tissue inhibitor of metalloproteinase 1 and proα1 collagen increased .","Indo (MISC), autism (MISC), ASD (MISC), Parkinsons (MISC), AS (MISC), ASD (MISC), ASD (MISC), ASD (MISC), Au (MISC), ASD (MISC), ASD (MISC), United States (LOC), ASD (MISC), AS (MISC), AS (MISC), AS (MISC)"
11641227.xml,Magnesium (Mg) and Neurodegeneration: A Comprehensive Overview of Studies on Mg Levels in Biological Specimens in Humans Affected Some Neurodegenerative Disorders with an Update on Therapy and Clinical Trials Supplemented with Selected Animal Studies,"Additionally, the findings from an animal model are summarized to offer the reader a deeper insight into studies on Mg in the context of neuroprotection and neurodegeneration. | Data provided in the present review indicate that Mg, due to its neuroprotective, antioxidant, anti-inflammatory, and mitochondrial-supportive properties, could be a potential therapeutic agent for AD, PD, and ALS. | Section 7, which contains six subsections (7.17.6), summarizes data on the neuroprotective mechanisms of Mg in AD, PD, and ALS, collects information about the neuroprotective efficacy of this bioelement in animals following experimental brain injury, and provides a summarizing note from studies on animals and humans on the neuroprotective efficacy of Mg in the context of cognitive function. | Moreover, as Mg plays a crucial role in maintaining brain health, our focus was directed towards data, obtained from an animal model, related to the neuroprotective efficacy of this bioelement and possible changes in the levels of this mineral in the CNS of animals exposed to metals involved in neurodegenerative disorders. | This has allows us to offer the reader a deeper insight into studies on Mg in the context of neuroprotection and neurodegeneration. | It frequently occurs as a free cation in aqueous solutions or as the mineral part of a substantial variety of compounds . | Magnesium: Neuroprotection 7.1. Neuroprotective Mechanisms of Magnesium Action: A Summarizing Note Despite the fact that the exact mechanism of the neuroprotective effect of Mg has not been fully recognized, the following hypotheses include anti-oxidative effects , anti-inflammatory effects , anti-apoptotic effects , blocking of n-methyl-D-aspartate receptors (NMDA-R) , inhibition of L-type calcium channels , membrane stabilization , and cerebral blood flow modulation . | Magnesium has neuroprotective properties that can help safeguard neurons against damage. | While there is currently no cure for ALS, research has explored various potential therapeutic approaches, including the use of Mg. This element is known to play several roles in the central nervous system, and its potential therapeutic effects in ALS are based on its neuroprotective, antioxidant, and anti-inflammatory properties. | Magnesiums ability to stabilize Ca levels can therefore be neuroprotective . | 7.5. Neuroprotective Efficacy of MagnesiumExperimental Brain Injury: A Summarizing Note from Studies in an Animal Model As magnesium is involved in the maintenance of the homeostasis of all the tissues, including the brain, in this section, we summarize studies on the neuroprotective efficacy of this bioelement in animals following an experimental traumatic brain injury (TBI) (Figure 6). | In turn, a study conducted by Lee and co-workers (undertaken to characterize the molecular and cellular mechanisms underlying the neuroprotective effects of Mg) explored whether post-injury treatment with Mg (as MgCl2) alters the cell survival and the expression of related proteins after brain injury in rats. | Detailed information about the neuroprotective efficacy of Mg in the context of cognitive function are concisely summarized below. | Another in vivo study, in which a gelatinpolyvinyl alcohol-loaded Mg hydroxide nanocomposite was used, showed the protective effect of the formulated Mg compound on the cognitive and synaptic impairments in AD-induced rats . | As far as Alzheimers disease is concerned, Mg is a promising potential therapeutic agent for AD due to its neuroprotective, antioxidant, anti-inflammatory, and mitochondrial-supportive properties. | As for Parkinsons disease, Mg also shows promise as a potential therapeutic agent for PD due to its neuroprotective, antioxidant, anti-inflammatory, and mitochondrial-supportive properties.","C (MISC), C (MISC), Alzheimers disease (MISC), AD (MISC), Parkinsons Disease (MISC), PD (MISC), Amy (MISC), ALS (MISC), AD (MISC), PD (MISC), ALS (MISC), AD (MISC), PD (MISC), ALS (MISC), AD (MISC)"
11641247.xml,Combining Cold Atmospheric Plasma and Environmental Nanoparticle Removal Device Reduces Neurodegenerative Markers,"This increased expression of macroautophagy markers indicates a potential neuroprotective effect reducing the levels of damaged and aggregated proteins as an adaptive cellular process aimed at preserving protein stability. | It was also significantly reduced in the brains of CAP-NR mice, underlining the importance of this effect and demonstrating a real preventive or therapeutic capacity of this compound in treating the effects of ageing at the cerebral level.","Parkinson (MISC)"
11641252.xml,The Phytochemical Profile of the Petroleum Ether Extract of Purslane Leaves and Its Anticancer Effect on 4-(Methylnitrosamino)-1-(3-pyridyl)-1-buta-4 None (NNK)-Induced Lung Cancer in Rats,"Nicotine itself also has potent potential carcinogenic activity by means of its conversion to nitrosamine compounds, especially nitrosamine ketone and nitrosonornicotine. | A small percentage (10) of inhaled nicotine appears to undergo endogenous conversion to nitrosamine compounds. | Its various pharmacological properties are anti-inflammatory , antioxidative , renoprotective , neuroprotective , hepatoprotective , hypolipidemic , muscle-relaxing effects , anti-diabetes , anti-platelet aggregation , anti-Schistosomiasis , anti-asthmatic , an immunomodulatory , anti-acetyl cholinesterase and anti-hepatic fibrosis . | Purslane contains bioactive compounds with antioxidant properties that act on metastasis and invasion, modulate the immune system, and inhibit tumor formation . | Based on the previous therapeutic benefits and anticancer effect of Purslane, in addition to its beneficial bioactive compounds, we included Purslane in the preclinical trial for treating lung cancer. | Purslane extract caused inflammatory inhibitory action as a remarked decrease in IGF-1 expression levels (by about 62) in comparison with cancer control (p 0.05) (Figure 4C). | Using HPLC-QTOFHR-MSMS with (ve) and negative (ve) dual ionization modes, compounds in Purslane were tentatively identified based on ionization modes (ve and ve), retention times (Rt), exact mass detected, chemical formula, and an error ppm (between actual mass and observed mass) for all phytoconstituents. | By comparing the published data with the spectra of reference compounds, the limit of detection for each peak of the compounds was determined using the MSMS fragment ions. | The suggested fragmentation mechanism for compound (6) is illustrated in Scheme 3. | As a result, the tentative identities of compounds 6 and 10 were determined to be stepharanine and dehydrodiscretamine . | Therefore, these compounds were tentatively detected as jatrorrhizine (4), columbamine (14), and dehydrocorydalmine (9), respectively . | Furthermore, the ion at mz 334 indicated the presence of C-C single bonds at C5 and C6, possibly due to a more stable π-conjugated system created by the loss of , so compound (12) was identified as berberine based on a comparison to the reference standard . | By comparison with the literature data, compound (21) was tentatively assigned as palmatine . | Based on fragmentation behavior, compounds (13, 11, 15, and 20 18) were identified as coumaroyltyramine, caffeoyltyramine, feruloyltyramine, feruloyloctopamine, and feruloylglycine, respectively . | The MSMS spectrum exhibited their product ions at mz 369.2651, 354.4301, and 309.2600 confirmed compound (49) as cholesterol; 371.2918, 356.0695, and 309.2895 suggested compound (48) as cholestanol. | Similarly, two analogs with precursor ions at mz 401.2657 and 397.3432 gave ions at 383.2570, 369.2416, and 355.1109 prove compound (47) as campesterol; the ions appear at mz 379.2682, 363.2307, and 349.5022, suggesting compound (53) as ergosterol. | The compounds identified in the etheric extract vary between fatty acids, sterols, and alkaloids. | α-linolenic acid, the principal component abundant in our extract, has been demonstrated as an anticancer compound in multiple cancers. | Low levels of FOXO1 can stimulate the growth of non-small cell lung cancer cells, have a significant inhibitory effect on the cell cycle of lung cancer cells, and trigger apoptosis . | The phosphorylation of target proteins by Akt can be stimulatory or inhibitory, hence altering or increasing their activity. | This action leads to the prevention of tumor cell development through the binding of FOXO1 to the promoter of cell-cycle-inhibitor p21 that suppresses the growth of tumor cells . | Additionally, by binding the IGF-1 receptor, exogenous IGF-1 was discovered to stimulate the up-regulation of epithelialmesenchymal transition (EMT) and to enhance proliferation, invasiveness, metastasis, and ultimately resistance to epidermal growth factor receptor tyrosine kinase inhibitors (EGFR-TKIs) . | A relationship between the utilized log concentrations and the neutral red intensity value was used to find out the IC50 (the half-maximal inhibitory concentration) of the studied extract.","##or (MISC), N (MISC), Intercellular Adhesion Mo (MISC), ##cule (MISC), 1 (MISC), ICAM (MISC), 1 (MISC), Matrix (MISC), ##e (MISC), In (MISC), ##in (MISC), 1 (MISC), I (MISC), Forkhead (MISC), F (ORG)"
11641261.xml,Phenolic Characterization and Quality Evaluation of Herbal Coffee from Roasted Juniper Berry Fruits (Juniperus drupacea L.): Elucidating the Impact of Roasting,"Sixteen phenolic compounds were identified and quantified by a LC-ESI-MSMS device. | In another study by Konuk Takma , shell extracts of juniper berry fruits were utilized in biopackaging, and juniper berry molasses were appraised as a source of bioactive compounds. | The changes in color, dry matter, antioxidant activity, sugar composition (HPLC-RID), hydroxymethylfurfural (HMF) (HPLC-PDA), and phenolic compounds (LC-ESI-MSMS) of the herbal coffee were investigated comprehensively based on these production parameters. | Calibration curves were created using sucrose, glucose, and fructose standards for the identification of compounds. | 2.9. Phenolic Profile Analysis The phenolic compounds were analyzed according to Kelebek and Selli with some modifications. | The phenolic compounds were determined by triple quadrupole mass spectroscopy (Model 6430, Agilent Tech., Palo Alto, CA, USA) HPLC with a diode array detector (DAD), an electrospray ionization source, and the Phenomenex Luna C-18 column (4.6 mm 250 mm, 5 m). | Calibration curves of the standard phenolic compounds were utilized to determine the amount of each constituent. | As it was not possible to obtain standard substances for all compounds, calibration curves prepared with comparable chemicals were used to determine the amounts of the constituents with no standards. | Moreover, the correlation matrix (Pearson correlation coefficients, r) was prepared to appraise multiple pairwise comparisons between the AA values, HMF contents, and phenolic compounds in the OriginPro software (version 9.8; OriginLab Corporation, Northampton, MA, USA). | It is thought that a decrease in the L value (darker color) is caused by high molecular weight compounds (melanoids) formed as a result of the Maillard reaction . | The caffeic, chlorogenic, coumaric, ferulic, nicotinic acids, caffeine, trigonelline, cafestol, and coffeeol available in coffee are compounds with high antioxidant potential . | This situation can be explained by both the formation and then decomposition of antioxidant compounds during roasting. | However, as the roasting level increases, these newly formed compounds and existing antioxidants, such as chlorogenic acids, begin to decompose. | Thermal processing of plant-based products, including roasting, can lead to the degradation of sensitive phytochemicals, especially phenolic compounds known for their antioxidant properties. | This reaction can form new compounds that may exhibit antioxidant properties or consume existing antioxidants, leading to a decrease in their AA levels . | Thus, the balance between the creation of useful Maillard reaction compounds and the degradation of phenolics is very important . | drupacea fruits with an increasing temperature and infusion time in the current study may be attributed to the thermal degradation of sensitive phenolic compounds, potential adverse effects of the Maillard reaction, and the applied thermal treatment conditions. | The chromatogram of the HMF compound is shown in Figure 2. | Numerous compounds are formed from various reactions due to high temperatures applied when roasting coffee, and they contribute to taste and aroma but can also have harmful effects on human health . | 3.4. Results of Sugar Content Analysis Three sugar compounds, sucrose, glucose, and fructose, were analyzed in the juniper berry herbal coffee (Table 2). | The Maillard reaction that occurs during roasting involves a reaction between reducing sugars and amino acids, causing the formation of some compounds, including melanoidins . | Taha and Matthäus emphasized that roasting can lead to significant changes in the sugar profile, and some sugars can be converted into other compounds or can be lost due to thermal degradation. | The sugar content is affected by roasting conditions; hence, the roasting temperature and duration must be carefully controlled to preserve beneficial compounds. | Figure 3 HPLC chromatogram of the sugar compounds of herbal coffee from juniper berries (uV vs. | The chromatograms of the identified compounds recorded at 280 and 320 nm are illustrated in Figure 4. | The correlation data among the antioxidant capacity and phenolic compounds of the herbal coffee are shown in Figure 4. | In general, substantial differences were observed among the compounds (p 0.05). | A general full factorial design was performed to reveal the effects of temperature and duration factors and their interaction with the phenolic compounds and TPCs based on 95 and 99 significance levels. | However, temperature was found to have no significant effect on the phenolic compound of rutin. | Also, the time temperature interaction term had no significant effect on the quercetin-rhamnosyl compound (p 0.05). | foods-13-03946-t003_Table 3 Table 3 Phenolic compound concentrations (mgL) of the unroasted juniper berries and herbal coffee obtained from juniper berries roasted at three different temperatures and for four durations. | These significant effects are attributed to the ability of the compounds to increase nitric oxide production and reduce oxidative stress in vascular tissues . | Amentoflavone and methyl-biflavone have been associated with neuroprotective effects, helping to protect neuronal cells from oxidative stress and inflammation, which are critical factors in neurodegenerative diseases . | Phenolic compounds available in juniper berries offer various health benefits, including anti-inflammatory, antioxidant, antimicrobial, cardiovascular, anti-cancer, neuroprotective, and metabolic effects. | This degradation is particularly pronounced for compounds such as chlorogenic acid, which is thermally unstable . | The peaks correspond to the compounds in Table 3. | Figure 5 Correlation matrix of the antioxidant activity (DPPH and ABTS), total phenolic content (TPC), hydroxymethylfurfural (HMF), and phenolic compounds of herbal coffee obtained from roasted juniper berries (p 0.05). | stated that roasting can significantly alter the phenolic composition, especially for thermally sensitive compounds. | The data obtained in the present study and the findings in the literature reveal that suitable roasting conditions are quite important for conserving beneficial compounds. | The roasting temperature and duration also significantly changed the profiles of aromatic compounds formed during roasting. | A total of 16 phenolic compounds were identified in the unroasted fruits and herbal coffee samples. | In sum, it was found that the herbal coffee obtained from roasted juniper berries had good potential in terms of phenolic compounds and antioxidant capacity.","Turkish (MISC), Juniper (MISC), C (MISC), LC (MISC), E (ORG), C (MISC)"
11641278.xml,Mechanisms of Adsorption of Phenoxyalkanoic Herbicides on Fulvic and Humic Acids,"Although PAAHs are post-emergence herbicides, significant amounts of these compounds reach the soil surface, surface water, and groundwater, and the processes of their adsorption and degradation should be analyzed to predict pesticide behavior and environmental impact. | In comparison with other acids, the adsorption of the molecular form of butanoic acid derivatives is much stronger because these compounds are weaker acids and contain the longest, unbranched alkyl chain. | At pH 2.9, these compounds are characterized by the highest content of molecular forms that can form H-bonds and undergo adsorption on FAs. On the other hand, MCPB and 2,4-DB molecules have a significantly higher number of rotatable bonds (5, the remaining 3), which increases their conformational abilities and significantly reduces the requirements for the location of additional sorption sites of humic substances. | It helps understand why modeling of the movement of PAAHs through the soil profile has generally shown that these compounds should not accumulate in the soil profile and move to groundwater at concentrations exceeding the permissible concentration, while the results of monitoring studies have shown their concentrations 0.1 μgL.","Al (MISC), Al (MISC), F (MISC), European Union (ORG), Al (MISC), Al (MISC), Al (MISC), Al (MISC)"
11641279.xml,Resveratrol-Loaded Pluronic Micelles Ameliorate Scopolamine-Induced Cognitive Dysfunction Targeting Acetylcholinesterase Activity and Programmed Cell Death,"The biochemical assays showed that mRVT in a dose of 10 mgkg enhanced the effects of the pure drug in regard to noradrenalin neurotransmission and acetylcholinesterase inhibitory activity in the hippocampus. | Currently, the primary approach to treating the disease focuses on symptom management, with acetylcholinesterase (AChE) inhibitors being the most effective available therapy. | However, these medications are insufficient to halt the progression of the disease, and according to clinical data, at least half of AD patients do not respond to acetylcholinesterase inhibitors such as donepezil, rivastigmine, and galantamine . | It has been found that RVT possesses AChE-inhibitory activity in vivo . | The positive effects of RVT on memory may be attributed to its ability to stimulate the expression of nerve growth factor in the hippocampus , to preserve brain-derived neurotrophic factor (BDNF), a key molecule for hippocampal plasticity , and to activate cAMP-response element-binding protein (CREB) signaling pathways . | Despite these promising findings, clinical trials have yet to confirm the neuroprotective effects of resveratrol in AD treatment . | Cannabidiol loading in these micelles resulted in stronger neuroprotective effects against induced oxidative stress in neuronal cells compare to pure cannabidiol. | The neuroprotective effect of pure (RVT) and micellar resveratrol (mRVT) on spatial working memory deficits, exploratory activity, and anxiety-like behavior of rats with scopolamine-induced dementia was investigated. | In addition, the effect of mRVT on the brain acetylcholinergic (ACh), dopaminergic, noradrenergic, and serotoninergic neurotransmitter systems, AChE activity, the expression of memory-related neurotrophic (BDNF) and transcription (pCREB) factors, and the levels of B-cell lymphoma 2 (Bcl2) protein and Bcl-2-associated X (BAX) protein in the cortex and hippocampus were also monitored. | Additionally, their effects on the brain neurotransmitter systems (ACh, DA, NA, and Sero), AChE activity, and expression of memory-related neurotrophic factors (BDNF) and transcription factors (pCREB) were evaluated, along with the levels of Bcl2 and BAX in the cortex and hippocampus. | Previous studies reported the AChE-inhibitory activity of resveratrol and its stimulatory effect on the brain monoaminergic neurotransmission . | In this research, resveratrol treatments (both pure and micellar) in dementia animals demonstrated AChE-inhibitory activity in the hippocampus and an ACh and monoaminergic preservation effect in both observed brain structures. | The biochemical results highlighted that micellar resveratrol at a dose of 10 mgkg exhibited the strongest AChE-inhibitory activity in the hippocampus and potential to increase norepinephrine levels in the same region. | BDNF is a neurotrophic factor that in the adult brain regulates both excitatory and inhibitory synaptic transmission and activity-dependent plasticity . | It is assumed that the CREBBDNF signaling pathway may represent a promising target for the development of novel compounds with memory-enhancing properties. | In our study, the effects of pure and micellar resveratrol were comparable and demonstrated neuroprotection in the cortex and hippocampus (Figure 6). | This was reflected in its stronger AChE-inhibitory activity, increased noradrenaline neurotransmission, the activation of BDNFCREB signaling, and pronounced anti-apoptotic effects in the cortex and hippocampus of rats with experimental dementia. | These improvements contribute to its superior neuroprotective properties and enhanced efficacy in improving learning and memory.","Alzheimers (MISC), Wista (PER), ##r (MISC), Alzheimers (MISC), AD (MISC)"
11641280.xml,The Neuroprotective Effect of the X Protein of Orthobornavirus Bornaense Type 1 in Amyotrophic Lateral Sclerosis,"Therefore, this study examines the neuroprotective effects of X protein in an ALS mouse model. | Although life expectancy was not extended in this severe mouse model of motor neuron degeneration, the present findings clearly demonstrate the neuroprotective potential of X protein in a model of ALS. | Taken together, the results show that the neuroprotective effect of this protein is largely dependent on its ability to effectively target the mitochondria. | In this study, we aimed to examine the putative neuroprotective role of X protein in a mouse model of ALS (SOD1G93A mice). | 2.4. Effect of X Protein and PX3 Peptide on Muscle Activity To assess whether the observed improvement in motor performance was associated with the preservation of neuromuscular functionality, we studied the compound muscle action potential (CMAP) of the Ts at asymptomatic and symptomatic stages. | Discussion Our study clearly demonstrates the neuroprotective effect of X protein in a mouse model of ALS (SOD1G93A mice), with an obvious effect on motor performance and on both motor units and MNs survival. | Despite these very encouraging results, we suggest that the insufficient neuroprotection observed (especially on life expectancy) could be because the expression of X protein was limited solely to the very few MNs innervating the triceps surae injected muscle. | Moreover, the weak neuroprotective effect could be due to the limited diffusion of the peptide PX3 in the spinal cord after nasal instillation and because the derived peptide is small and easily degraded. | Cultures were maintained in neurobasal medium supplemented with 2 B27, 2 inactivated horse serum, 100 UmL penicillin, and 100 UmL streptomycin and with glutamate, glutamine, and neurotrophic factors (GDNF 10 μgmL, BDNF 1 μgmL, CTNF 1 μgmL) in 5 CO2 at 37 C. | 4.7. Electromyographic Study The compound muscle action potential (CMAP) of the triceps surae (Ts) muscle of each animal was assessed at either 70 or 90 days of age.","ALS (MISC), Or (MISC), ##obornavirus bornaense (MISC), 1 (MISC), BoDV (MISC), 1 (MISC), ALS (MISC), S (MISC), ##1 (MISC), ALS (MISC), ALS (MISC), AL (MISC), AL (MISC), AL (MISC)"
11641291.xml,Gliotic Response and Reprogramming Potential of Human Müller Cell Line MIO-M1 Exposed to High Glucose and Glucose Fluctuations †,"These observations indicate that the severity and fluctuation of glucose stress influence SHH signaling pathways, affecting the balance between neuroprotection and gliosis in the retina. | 4.2. Western Blot (WB) MIO-M1 cell lysates were prepared with RIPA buffer (25 mM TrisHCl pH 7.5, 150 mM NaCl, 1 NP-40, 0.1 sodium dodecyl sulphate (SDS), 1 sodium deoxycholate, 10 mM sodium fluoride (NaF), 1 M phenylmethylsulphonyl fluoride (PMSF), 1 M sodium vanadate (NaVO3), containing EDTA-free protease inhibitor cocktail (Sigma-Aldrich, St. Louis, MO, USA) and PhosSTOP (Roche, Penzberg, Germany).","Müller (MISC), MG (MISC), MG (MISC), MG (MISC), Müller (MISC), MIO (ORG), M1 (ORG), G (MISC), V (ORG), MI (ORG), ##O (MISC)"
